wavelength, power, luminance
3.8000000000000000e+02,3.8210000000000001e-07,1.1160000000000001e+00
3.8400000000000000e+02,3.4880000000000000e-07,1.1160000000000001e+00
3.8800000000000000e+02,3.1210000000000000e-07,1.1160000000000001e+00
3.9200000000000000e+02,2.8120000000000000e-07,1.1160000000000001e+00
3.9600000000000000e+02,2.4870000000000000e-07,1.1160000000000001e+00
4.0000000000000000e+02,2.2760000000000000e-07,1.1160000000000001e+00
4.0400000000000000e+02,2.1080000000000001e-07,1.1160000000000001e+00
4.0800000000000000e+02,1.9929999999999999e-07,1.1160000000000001e+00
4.1200000000000000e+02,1.9160000000000000e-07,1.1160000000000001e+00
4.1600000000000000e+02,1.8930000000000001e-07,1.1160000000000001e+00
4.2000000000000000e+02,1.8990000000000000e-07,1.1160000000000001e+00
4.2400000000000000e+02,1.9259999999999999e-07,1.1160000000000001e+00
4.2800000000000000e+02,2.4830000000000002e-07,1.1160000000000001e+00
4.3200000000000000e+02,3.2690000000000000e-07,1.1160000000000001e+00
4.3600000000000000e+02,3.1950000000000002e-07,1.1160000000000001e+00
4.4000000000000000e+02,2.9050000000000001e-07,1.1160000000000001e+00
4.4400000000000000e+02,3.9999999999999998e-07,1.1160000000000001e+00
4.4800000000000000e+02,4.4299999999999998e-07,1.1160000000000001e+00
4.5200000000000000e+02,3.2500000000000001e-07,1.1160000000000001e+00
4.5600000000000000e+02,5.5110000000000000e-07,1.1160000000000001e+00
4.6000000000000000e+02,2.3809999999999999e-07,1.1160000000000001e+00
4.6400000000000000e+02,2.3799999999999999e-07,1.1160000000000001e+00
4.6800000000000000e+02,2.3629999999999999e-07,1.1160000000000001e+00
4.7200000000000000e+02,2.4089999999999999e-07,1.1160000000000001e+00
4.7600000000000000e+02,4.1399999999999997e-07,1.1160000000000001e+00
4.8000000000000000e+02,2.2289999999999999e-07,1.1160000000000001e+00
4.8400000000000000e+02,2.1740000000000000e-07,1.1160000000000001e+00
4.8800000000000000e+02,2.1170000000000000e-07,1.1160000000000001e+00
4.9200000000000000e+02,2.0580000000000000e-07,1.1160000000000001e+00
4.9600000000000000e+02,1.9950000000000001e-07,1.1160000000000001e+00
5.0000000000000000e+02,1.9310000000000000e-07,1.1160000000000001e+00
5.0400000000000000e+02,3.1829999999999998e-07,1.1160000000000001e+00
5.0800000000000000e+02,3.6990000000000000e-07,1.1160000000000001e+00
5.1200000000000000e+02,1.8099999999999999e-07,1.1160000000000001e+00
5.1600000000000000e+02,1.7910000000000001e-07,1.1160000000000001e+00
5.2000000000000000e+02,4.7869999999999997e-07,1.1160000000000001e+00
5.2400000000000000e+02,1.7790000000000000e-07,1.1160000000000001e+00
5.2800000000000000e+02,1.7930000000000000e-07,1.1160000000000001e+00
5.3200000000000000e+02,1.8160000000000001e-07,1.1160000000000001e+00
5.3600000000000000e+02,3.1810000000000002e-07,1.1160000000000001e+00
5.4000000000000000e+02,2.1019999999999999e-07,1.1160000000000001e+00
5.4400000000000000e+02,1.9130000000000000e-07,1.1160000000000001e+00
5.4800000000000000e+02,1.9570000000000001e-07,1.1160000000000001e+00
5.5200000000000000e+02,2.0100000000000001e-07,1.1160000000000001e+00
5.5600000000000000e+02,2.0709999999999999e-07,1.1160000000000001e+00
5.6000000000000000e+02,2.1500000000000001e-07,1.1160000000000001e+00
5.6400000000000000e+02,4.8029999999999998e-07,1.1160000000000001e+00
5.6800000000000000e+02,5.3349999999999995e-07,1.1160000000000001e+00
5.7200000000000000e+02,4.7399999999999998e-07,1.1160000000000001e+00
5.7600000000000000e+02,8.9640000000000001e-07,1.1160000000000001e+00
5.8000000000000000e+02,1.2210000000000000e-06,1.1160000000000001e+00
5.8400000000000000e+02,2.4229999999999999e-06,1.1160000000000001e+00
