row,col,template,genotype,m_peak,q_peak,l_peak,display_scale,bgor_1,bgor_2,rgbo_1,rgbo_2,matched_template_hyper_max,matched_template_hyper_l559
0,0,stockman,"(530, 559)",530,547,559,12576.3757323,"[125, 147, 31, 255]","[130, 108, 224, 0]","[255, 147, 125, 31]","[0, 108, 130, 224]",3.120880312318114,0.09503691914356693
0,1,stockman,"(530, 555)",530,547,555,12812.7897238,"[126, 145, 39, 255]","[129, 110, 216, 0]","[255, 145, 126, 39]","[0, 110, 129, 216]",2.136724105923534,2.136724105923534
0,2,stockman,"(533, 559)",533,547,559,12318.3811196,"[130, 105, 228, 0]","[125, 150, 27, 255]","[0, 105, 130, 228]","[255, 150, 125, 27]",2.633774188434579,0.04910562670168872
0,3,stockman,"(555, 559)",555,547,559,10763.2032953,"[122, 176, 0, 244]","[133, 79, 255, 11]","[244, 176, 122, 0]","[11, 79, 133, 255]",10.256845373412261,0.050900334202040654
0,4,stockman,"(533, 555)",533,547,555,12550.3772453,"[125, 147, 35, 255]","[130, 108, 220, 0]","[255, 147, 125, 35]","[0, 108, 130, 220]",1.9087426382792927,1.5382111369608253
0,5,stockman,"(530, 556)",530,547,556,12752.1768059,"[125, 145, 37, 255]","[130, 110, 218, 0]","[255, 145, 125, 37]","[0, 110, 130, 218]",2.4356008364590025,1.3488681469430475
0,6,stockman,"(530, 556.5)",530,547,556.5,12722.281423,"[125, 145, 36, 255]","[130, 110, 219, 0]","[255, 145, 125, 36]","[0, 110, 130, 219]",2.735441091013186,0.9799207667653747
0,7,stockman,"(530, 551)",530,547,551,13068.2019446,"[126, 142, 47, 255]","[129, 113, 208, 0]","[255, 142, 126, 47]","[0, 113, 129, 208]",3.7289004741555942,3.7289004741555942
0,8,stockman,"(530, 552)",530,547,552,13002.186013,"[126, 143, 45, 255]","[129, 112, 210, 0]","[255, 143, 126, 45]","[0, 112, 129, 210]",3.4453670935547933,3.4453670935547933
0,9,stockman,"(530, 533)",530,547,533,14633.7466034,"[128, 121, 182, 0]","[127, 134, 73, 255]","[0, 121, 128, 182]","[255, 134, 127, 73]",10.81735165708045,10.81735165708045
1,0,neitz,"(530, 559)",530,547,559,10821.38008,"[124, 160, 1, 255]","[131, 95, 254, 0]","[255, 160, 124, 1]","[0, 95, 131, 254]",3.334879378374623,0.04028695103149005
1,1,neitz,"(530, 555)",530,547,555,11290.7961538,"[124, 157, 11, 255]","[131, 98, 244, 0]","[255, 157, 124, 11]","[0, 98, 131, 244]",2.0613820698732184,2.0613820698732184
1,2,neitz,"(533, 559)",533,547,559,10464.460801,"[131, 92, 255, 5]","[124, 163, 0, 250]","[5, 92, 131, 255]","[250, 163, 124, 0]",2.7667989076704558,0.17743574849506416
1,3,neitz,"(555, 559)",555,547,559,12015.1217662,"[122, 182, 0, 214]","[133, 73, 255, 41]","[214, 182, 122, 0]","[41, 73, 133, 255]",10.38506242858972,0.050176574467755586
1,4,neitz,"(533, 555)",533,547,555,10960.4208393,"[124, 161, 5, 255]","[131, 94, 250, 0]","[255, 161, 124, 5]","[0, 94, 131, 250]",1.7289401127922304,1.7289401127922304
1,5,neitz,"(530, 556)",530,547,556,11173.4140246,"[124, 158, 8, 255]","[131, 97, 247, 0]","[255, 158, 124, 8]","[0, 97, 131, 247]",2.3545686677343127,1.4596465519198887
1,6,neitz,"(530, 556.5)",530,547,556.5,11114.5242629,"[124, 158, 7, 255]","[131, 97, 248, 0]","[255, 158, 124, 7]","[0, 97, 131, 248]",2.639414195930364,1.1131143587692804
1,7,neitz,"(530, 551)",530,547,551,11752.8127406,"[125, 153, 20, 255]","[130, 102, 235, 0]","[255, 153, 125, 20]","[0, 102, 130, 235]",3.563456437642344,3.563456437642344
1,8,neitz,"(530, 552)",530,547,552,11639.027488,"[125, 154, 18, 255]","[130, 101, 237, 0]","[255, 154, 125, 18]","[0, 101, 130, 237]",3.279298847519584,3.279298847519584
1,9,neitz,"(530, 533)",530,547,533,13341.6142889,"[129, 115, 200, 0]","[126, 140, 55, 255]","[0, 115, 129, 200]","[255, 140, 126, 55]",11.484041395727843,11.484041395727843
2,0,govardovskii,"(530, 559)",530,547,559,10517.5905953,"[124, 162, 0, 250]","[131, 93, 255, 5]","[250, 162, 124, 0]","[5, 93, 131, 255]",2.662406416437655,0.2629042850387364
2,1,govardovskii,"(530, 555)",530,547,555,10865.2488821,"[124, 159, 4, 255]","[131, 96, 251, 0]","[255, 159, 124, 4]","[0, 96, 131, 251]",2.349012675724744,1.408051905351897
