sep=;
Export Date/Time;Thu Aug 07 2025 04:34:22 GMT+0000 (Coordinated Universal Time),User Email;jessicaannielee14@gmail.com,Saved Library Name;Photo-paper
Exported From; Saved Library
Index;Original Library Name;Saved Collection Name;Original Color Name;User Color Name;Scan Type;DE00 to Scan;Match Degree;Scan Reference Index;Nix Device;Note;Date Saved;Illuminant;Observer;Measurement Mode;L;a;b;L;c;h;X;Y;Z;sRGB R;sRGB G;sRGB B;HEX;Density Status;Density C;Density M;Density Y;Density K;R400 nm;R410 nm;R420 nm;R430 nm;R440 nm;R450 nm;R460 nm;R470 nm;R480 nm;R490 nm;R500 nm;R510 nm;R520 nm;R530 nm;R540 nm;R550 nm;R560 nm;R570 nm;R580 nm;R590 nm;R600 nm;R610 nm;R620 nm;R630 nm;R640 nm;R650 nm;R660 nm;R670 nm;R680 nm;R690 nm;R700 nm
1;"-";"our-lib";"-";"White";Scan;"-";"-";"-";Nix Spectro 2;"-";Wed Aug 06 2025 22:27:53 GMT+0000 (Coordinated Universal Time);D50;2;M2;9.45304655e+1;-4.75433542e-1;-3.36280475e+0;9.45304655e+1;3.39624688e+0;2.61952853e+2;8.31662927e-1;8.65111390e-1;7.52361863e-1;236;240;246;#ecf0f6;T;0.07;0.06;0.04;0.06;6.44034326e-1;7.03056991e-1;8.27752590e-1;9.01750267e-1;9.29286122e-1;9.33491409e-1;9.26623940e-1;9.18162465e-1;9.15191293e-1;9.07963574e-1;8.98830056e-1;8.91337812e-1;8.88227105e-1;8.68173480e-1;8.67479563e-1;8.64286900e-1;8.58896554e-1;8.52841318e-1;8.49265635e-1;8.49257708e-1;8.47859859e-1;8.48999679e-1;8.52637351e-1;8.53223622e-1;8.56056869e-1;8.65525842e-1;8.71103168e-1;8.77307534e-1;8.83954406e-1;8.87315810e-1;8.91762137e-1
2;"-";"our-lib";"-";"yellow 1/4";Scan;"-";"-";"-";Nix Spectro 2;"-";Wed Aug 06 2025 22:28:12 GMT+0000 (Coordinated Universal Time);D50;2;M2;9.25071444e+1;-5.05134181e+0;3.09199120e+1;9.25071444e+1;3.13298102e+1;9.92783647e+1;7.63886930e-1;8.18466739e-1;3.92821581e-1;241;235;173;#f1ebad;T;0.07;0.09;0.31;0.08;2.97349066e-1;3.16202193e-1;3.60553771e-1;3.91031355e-1;4.07700956e-1;4.26907986e-1;4.59881067e-1;5.05629241e-1;5.66752017e-1;6.36720717e-1;6.98808432e-1;7.56556869e-1;8.00830066e-1;8.19492698e-1;8.38324845e-1;8.46176624e-1;8.48838747e-1;8.46859753e-1;8.44837010e-1;8.46295238e-1;8.45707595e-1;8.47452164e-1;8.51178825e-1;8.51843178e-1;8.54739308e-1;8.64556432e-1;8.69905353e-1;8.76443028e-1;8.83461058e-1;8.86682451e-1;8.92252803e-1
3;"-";"our-lib";"-";"yellow 2/4";Scan;"-";"-";"-";Nix Spectro 2;"-";Wed Aug 06 2025 22:28:29 GMT+0000 (Coordinated Universal Time);D50;2;M2;9.10386699e+1;-5.03300712e+0;5.44041277e+1;9.10386699e+1;5.46364372e+1;9.52854741e+1;7.33049606e-1;7.85684425e-1;2.27384048e-1;245;231;121;#f5e779;T;0.07;0.12;0.53;0.09;1.50157362e-1;1.58133566e-1;1.75624803e-1;1.88862696e-1;1.98499426e-1;2.11828977e-1;2.43189394e-1;2.92802155e-1;3.65999967e-1;4.59087700e-1;5.52375376e-1;6.48133874e-1;7.26408362e-1;7.75074303e-1;8.12166691e-1;8.30311239e-1;8.40500593e-1;8.42964709e-1;8.43029976e-1;8.45905483e-1;8.45859110e-1;8.47994387e-1;8.52234781e-1;8.53207409e-1;8.56275141e-1;8.65724862e-1;8.71141553e-1;8.78611326e-1;8.86331856e-1;8.88883173e-1;8.92378986e-1
4;"-";"our-lib";"-";"yellow 3/4";Scan;"-";"-";"-";Nix Spectro 2;"-";Wed Aug 06 2025 22:28:43 GMT+0000 (Coordinated Universal Time);D50;2;M2;8.95909011e+1;-3.37649774e+0;7.32309022e+1;8.95909011e+1;7.33087019e+1;9.26398985e+1;7.11180631e-1;7.54232984e-1;1.32931866e-1;249;225;72;#f9e148;T;0.07;0.15;0.75;0.10;7.17787296e-2;7.51619935e-2;8.11817199e-2;8.72559398e-2;9.32857916e-2;1.00176014e-1;1.22594722e-1;1.63285762e-1;2.31539428e-1;3.26239705e-1;4.31535900e-1;5.51209509e-1;6.54658318e-1;7.26776898e-1;7.81079352e-1;8.10153604e-1;8.27762187e-1;8.34840298e-1;8.36885631e-1;8.40859354e-1;8.41652095e-1;8.44366491e-1;8.49095106e-1;8.50246787e-1;8.53390455e-1;8.62945080e-1;8.68861079e-1;8.75742137e-1;8.82727265e-1;8.86696279e-1;8.92356455e-1
5;"-";"our-lib";"-";"yellow 4/4";Scan;"-";"-";"-";Nix Spectro 2;"-";Wed Aug 06 2025 22:29:04 GMT+0000 (Coordinated Universal Time);D50;2;M2;8.83324329e+1;-2.80000123e-1;8.69404849e+1;8.83324329e+1;8.69409357e+1;9.01845259e+1;7.00242895e-1;7.27585502e-1;8.28180189e-2;252;219;0;#fcdb00;T;0.07;0.18;0.95;0.11;3.62958647e-2;3.97843197e-2;4.21444178e-2;4.53696102e-2;4.85386252e-2;5.09919748e-2;6.37243167e-2;8.99927542e-2;1.42370760e-1;2.24413633e-1;3.28172058e-1;4.60160524e-1;5.83028615e-1;6.75562263e-1;7.47926533e-1;7.90057540e-1;8.17556322e-1;8.30156982e-1;8.34692657e-1;8.40662241e-1;8.42309415e-1;8.45432162e-1;8.50638568e-1;8.52161109e-1;8.55559945e-1;8.65199983e-1;8.71543765e-1;8.79032552e-1;8.86632562e-1;8.90389800e-1;8.94356012e-1
6;"-";"our-lib";"-";"m 1/4";Scan;"-";"-";"-";Nix Spectro 2;"-";Wed Aug 06 2025 22:29:25 GMT+0000 (Coordinated Universal Time);D50;2;M2;8.17192183e+1;2.64559399e+1;-1.38820212e+1;8.17192183e+1;2.98768684e+1;3.32313002e+2;6.92005335e-1;5.97813867e-1;6.25587073e-1;243;186;230;#f3bae6;T;0.09;0.31;0.13;0.20;5.54664373e-1;6.11936212e-1;7.17978954e-1;7.85732448e-1;8.15288126e-1;8.21551383e-1;7.98233688e-1;7.55412161e-1;7.00896025e-1;6.43104851e-1;5.97205102e-1;5.46027482e-1;4.95096534e-1;4.55177069e-1;4.47462827e-1;4.63538527e-1;4.91458386e-1;5.46458721e-1;6.25080585e-1;7.19087899e-1;7.86579907e-1;8.22306097e-1;8.39888632e-1;8.45956028e-1;8.51474464e-1;8.61676037e-1;8.67522836e-1;8.74888420e-1;8.82341743e-1;8.85583997e-1;8.90681446e-1
7;"-";"our-lib";"-";"m 2/4";Scan;"-";"-";"-";Nix Spectro 2;"-";Wed Aug 06 2025 22:29:45 GMT+0000 (Coordinated Universal Time);D50;2;M2;7.22939230e+1;4.55459607e+1;-1.99354178e+1;7.22939230e+1;4.97177576e+1;3.36361057e+2;5.96858946e-1;4.40979573e-1;5.26403879e-1;243;144;215;#f390d7;T;0.12;0.54;0.21;0.31;4.78746951e-1;5.30312121e-1;6.22005224e-1;6.85156167e-1;7.15416729e-1;7.22518921e-1;6.89430594e-1;6.26560748e-1;5.45355439e-1;4.64815736e-1;4.05066282e-1;3.43197852e-1;2.84592777e-1;2.42635176e-1;2.34334379e-1;2.53356278e-1;2.86025882e-1;3.55179667e-1;4.67346340e-1;6.11435950e-1;7.26166666e-1;7.90924668e-1;8.21722865e-1;8.33089709e-1;8.41190636e-1;8.51994157e-1;8.57340991e-1;8.63767862e-1;8.70066822e-1;8.72076273e-1;8.76542926e-1
8;"-";"our-lib";"-";"M 3/4";Scan;"-";"-";"-";Nix Spectro 2;"-";Wed Aug 06 2025 22:30:04 GMT+0000 (Coordinated Universal Time);D50;2;M2;6.43001347e+1;6.16661507e+1;-2.32485155e+1;6.43001347e+1;6.59030167e+1;3.39343251e+2;5.23079376e-1;3.31722442e-1;4.36094463e-1;242;104;200;#f268c8;T;0.14;0.81;0.30;0.41;4.03082937e-1;4.51949298e-1;5.29285491e-1;5.86554289e-1;6.18537724e-1;6.25975251e-1;5.85071266e-1;5.07839203e-1;4.11030650e-1;3.20261031e-1;2.57050067e-1;1.98927522e-1;1.48768514e-1;1.14270754e-1;1.07903086e-1;1.23211727e-1;1.50015116e-1;2.14305088e-1;3.37653458e-1;5.13165891e-1;6.69020772e-1;7.63528168e-1;8.08700621e-1;8.26051950e-1;8.37204933e-1;8.49339366e-1;8.54444563e-1;8.60604465e-1;8.66735339e-1;8.69756222e-1;8.75014246e-1
9;"-";"our-lib";"-";"M 4/4";Scan;"-";"-";"-";Nix Spectro 2;"-";Wed Aug 06 2025 22:30:23 GMT+0000 (Coordinated Universal Time);D50;2;M2;5.96363209e+1;7.09478440e+1;-2.27894226e+1;5.96363209e+1;7.45181478e+1;3.42192268e+2;4.82533638e-1;2.77215315e-1;3.70872125e-1;241;75;186;#f14bba;T;0.15;1.03;0.38;0.47;3.50039184e-1;3.90253395e-1;4.56197172e-1;5.10330617e-1;5.43427885e-1;5.50946891e-1;5.05952239e-1;4.21520561e-1;3.20966184e-1;2.31178045e-1;1.72207415e-1;1.24604084e-1;8.72867852e-2;6.25110865e-2;5.83547838e-2;6.87208921e-2;8.72274637e-2;1.38355657e-1;2.56000996e-1;4.43401307e-1;6.28675044e-1;7.50697374e-1;8.11416030e-1;8.36195648e-1;8.51495445e-1;8.64870667e-1;8.71064186e-1;8.79011869e-1;8.86376977e-1;8.89272332e-1;8.94551277e-1
10;"-";"our-lib";"-";"C 1/4";Scan;"-";"-";"-";Nix Spectro 2;"-";Wed Aug 06 2025 22:30:43 GMT+0000 (Coordinated Universal Time);D50;2;M2;7.85391223e+1;-1.26096536e+1;-2.52398743e+1;7.85391223e+1;2.82144399e+1;2.43453627e+2;4.74988605e-1;5.41328298e-1;6.88016564e-1;143;203;241;#8fcbf1;T;0.40;0.19;0.08;0.30;4.87823933e-1;5.77800453e-1;7.08045721e-1;7.97008336e-1;8.43060434e-1;8.64109874e-1;8.68364215e-1;8.61750782e-1;8.53316784e-1;8.38122129e-1;8.16612244e-1;7.79715896e-1;7.28104353e-1;6.71668231e-1;6.12690985e-1;5.45828164e-1;4.80013072e-1;4.29493517e-1;3.98903608e-1;3.83108407e-1;3.79157275e-1;3.88038516e-1;4.08453614e-1;4.33000147e-1;4.52759117e-1;4.80251044e-1;4.99655426e-1;5.23772776e-1;5.50258279e-1;5.70709765e-1;5.86881876e-1
11;"-";"our-lib";"-";"C 2/4";Scan;"-";"-";"-";Nix Spectro 2;"-";Wed Aug 06 2025 22:31:04 GMT+0000 (Coordinated Universal Time);D50;2;M2;6.68855075e+1;-2.08527846e+1;-4.06882399e+1;6.68855075e+1;4.57205806e+1;2.42864792e+2;2.93685058e-1;3.64805884e-1;6.38339891e-1;36;176;235;#24b0eb;T;0.74;0.30;0.12;0.50;3.75920624e-1;4.70319033e-1;6.03834867e-1;7.06570685e-1;7.72608161e-1;8.09719741e-1;8.25864196e-1;8.23011100e-1;8.10958743e-1;7.89121628e-1;7.55744576e-1;6.95438206e-1;6.11412942e-1;5.30120492e-1;4.40343320e-1;3.50241333e-1;2.69192576e-1;2.13936761e-1;1.85558558e-1;1.71221629e-1;1.68065771e-1;1.75526395e-1;1.93856120e-1;2.18181103e-1;2.37735003e-1;2.65146673e-1;2.89062351e-1;3.17846835e-1;3.49130511e-1;3.73801410e-1;3.94020468e-1
12;"-";"our-lib";"-";"C 3/4";Scan;"-";"-";"-";Nix Spectro 2;"-";Wed Aug 06 2025 22:31:23 GMT+0000 (Coordinated Universal Time);D50;2;M2;5.89530518e+1;-2.43961101e+1;-4.99679926e+1;5.89530518e+1;5.56054896e+1;2.43976762e+2;2.05529024e-1;2.69770212e-1;5.93566731e-1;0;157;229;#009de5;T;1.03;0.39;0.15;0.66;2.91263640e-1;3.90408069e-1;5.22529781e-1;6.30680561e-1;7.10390866e-1;7.58314848e-1;7.83390105e-1;7.84549475e-1;7.69387841e-1;7.41121888e-1;6.98800921e-1;6.23227835e-1;5.21353006e-1;4.27587092e-1;3.26784045e-1;2.35657915e-1;1.60293221e-1;1.14253640e-1;9.42360833e-2;8.47041532e-2;8.25002491e-2;8.69070739e-2;9.90811288e-2;1.16801664e-1;1.31303400e-1;1.53070331e-1;1.74144611e-1;1.99437335e-1;2.27347687e-1;2.49567583e-1;2.70356357e-1
